series,episode,baker_fist_name,baker_last_name,result,baker_age,baker_occupation,hometown,signature_bake,technical,show_stopper
2,4,Yasmin,Limbert,stayed in,43,Childminder,"West Kirby, The Wirral",Chocolate Chip and Pistachio Biscotti,6,Chocolate and Lime MacaronsCoffee and Walnut MacaronsPineapple and Coconut Macarons
2,4,Ben,Frazer,Eliminated,31,Graphic Designer,Northampton,Stem Ginger Nuts,5,Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons
2,4,Holly,Bell,Star Baker,31,Advertising executive,Leicester,Strawberry and Custard Melts,3,"'Chocolate bars of my youth'
(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)"
2,4,Jason,White,Star Baker,19,Civil Engineering Student,Croydon,Lebkuchen,1,"Mocktail Macarons
(Mojito, Cranberry Cooler, and Pina Colada)"
2,4,Ian,Vallance,NA,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",NA,NA,NA
2,4,Keith,Batsford,NA,31,House husband,"Arlesey, Bedfordshire",NA,NA,NA
2,4,Simon,Blackwell,NA,31,Rugby Coach,Norfolk,NA,NA,NA
2,4,Urvashi,Roe,NA,40,Head of Marketing,"Enfield, London",NA,NA,NA
2,5,Holly,Bell,stayed in,31,Advertising executive,Leicester,"Stilton, Potato and Caramelised Onion Pie",4,Lime Meringue Pie
2,5,Joanne,NA,stayed in,NA,NA,NA,NA,6,NA
2,5,Mary-Anne,Boermans,stayed in,45,Housewife,"Kidderminster, Worcestershire",Chicken and Bacon Pie,2,Midnight Meringue
2,5,Yasmin,Limbert,stayed in,43,Childminder,"West Kirby, The Wirral",Family Fish Pie,5,Peach and Raspberry Meringue Pie
2,5,Jason,White,Eliminated,19,Civil Engineering Student,Croydon,Brown Down Chicken Pie,7,Plum Meringue Pie
2,5,Robert,Billington,Eliminated,25,Photographer,London,Chicken and Mushroom Pie,3,Rhubarb and Custard Meringue Pie
2,5,Janet,Basu,Star Baker,63,Teacher of Modern Languages,"Formby, Liverpool",Chicken and Chestnut Pie,1,Rhubarb Meringue Pie
2,5,Ben,Frazer,NA,31,Graphic Designer,Northampton,NA,NA,NA
2,5,Ian,Vallance,NA,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",NA,NA,NA
2,5,Keith,Batsford,NA,31,House husband,"Arlesey, Bedfordshire",NA,NA,NA
2,5,Simon,Blackwell,NA,31,Rugby Coach,Norfolk,NA,NA,NA
2,5,Urvashi,Roe,NA,40,Head of Marketing,"Enfield, London",NA,NA,NA
2,6,Holly,Bell,stayed in,31,Advertising executive,Leicester,Father Christmas' Baked Cheesecake,3,Hansel and Gretel's Croquembouche
2,6,Janet,Basu,stayed in,63,Teacher of Modern Languages,"Formby, Liverpool",Rhubarb and Ginger Baked Cheesecake,5,Orange and Nougatine Croquembouche
2,6,Mary-Anne,Boermans,stayed in,45,Housewife,"Kidderminster, Worcestershire",Tutti Fruitti Curd Baked Cheesecake,4,Orange and Praline Croquembouche with Cardamom Caramel
2,6,Yasmin,Limbert,Eliminated,43,Childminder,"West Kirby, The Wirral",Baked Amaretto Cheesecake,2,Rose Croquembouche
2,6,Joanne,NA,Star Baker,NA,NA,NA,NA,1,NA
2,6,Ben,Frazer,NA,31,Graphic Designer,Northampton,NA,NA,NA
2,6,Ian,Vallance,NA,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",NA,NA,NA
2,6,Jason,White,NA,19,Civil Engineering Student,Croydon,NA,NA,NA
2,6,Keith,Batsford,NA,31,House husband,"Arlesey, Bedfordshire",NA,NA,NA
2,6,Robert,Billington,NA,25,Photographer,London,NA,NA,NA
2,6,Simon,Blackwell,NA,31,Rugby Coach,Norfolk,NA,NA,NA
2,6,Urvashi,Roe,NA,40,Head of Marketing,"Enfield, London",NA,NA,NA
2,7,Holly,Bell,stayed in,31,Advertising executive,Leicester,"White Chocolate, Hazelnut and Raspberry Genoise Mousse Cake",1,"Apricot, Macadamia and White Chocolate PinwheelsAlmond CroissantsApple, Raisin and Cinnamon Plaits"
2,7,Joanne,NA,stayed in,NA,NA,NA,NA,3,NA
2,7,Mary-Anne,Boermans,stayed in,45,Housewife,"Kidderminster, Worcestershire",Chocolate and Orange Mousse Cake,2,Raspberry Rose DanishesPraline SpiralsAlsatian Plaited Danishes
2,7,Janet,Basu,Eliminated,63,Teacher of Modern Languages,"Formby, Liverpool",Chocolate Amaretto Mousse Cake,4,Pain Aux RaisinPlain CroissantPain Au Chocolat
2,7,Ben,Frazer,NA,31,Graphic Designer,Northampton,NA,NA,NA
2,7,Ian,Vallance,NA,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",NA,NA,NA
2,7,Jason,White,NA,19,Civil Engineering Student,Croydon,NA,NA,NA
2,7,Keith,Batsford,NA,31,House husband,"Arlesey, Bedfordshire",NA,NA,NA
2,7,Robert,Billington,NA,25,Photographer,London,NA,NA,NA
2,7,Simon,Blackwell,NA,31,Rugby Coach,Norfolk,NA,NA,NA
2,7,Urvashi,Roe,NA,40,Head of Marketing,"Enfield, London",NA,NA,NA
2,7,Yasmin,Limbert,NA,43,Childminder,"West Kirby, The Wirral",NA,NA,NA
2,8,Holly,Bell,Series Runner up,31,Advertising executive,Leicester,Banoffee Inspired Mille Feuille,2,Strawberry and Cream Meringue NestGooseberry and Elderflower 'Bakewell' TartsNeapolitan Ice-Cream Sandwich
2,8,Mary-Anne,Boermans,Series Runner up,45,Housewife,"Kidderminster, Worcestershire",Lemon and Ginger Mille Feuille,3,Fruit Tarts with Elderflower CustardStrawberry and Rhubarb CheesecakesBlack Fruit Meringue with Everlasting Syllabub
2,8,Joanne,NA,Series Winner,NA,NA,NA,NA,1,NA
2,8,Ben,Frazer,NA,31,Graphic Designer,Northampton,NA,NA,NA
2,8,Ian,Vallance,NA,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",NA,NA,NA
2,8,Janet,Basu,NA,63,Teacher of Modern Languages,"Formby, Liverpool",NA,NA,NA
2,8,Jason,White,NA,19,Civil Engineering Student,Croydon,NA,NA,NA
2,8,Keith,Batsford,NA,31,House husband,"Arlesey, Bedfordshire",NA,NA,NA
2,8,Robert,Billington,NA,25,Photographer,London,NA,NA,NA
2,8,Simon,Blackwell,NA,31,Rugby Coach,Norfolk,NA,NA,NA
2,8,Urvashi,Roe,NA,40,Head of Marketing,"Enfield, London",NA,NA,NA
2,8,Yasmin,Limbert,NA,43,Childminder,"West Kirby, The Wirral",NA,NA,NA
3,1,Brendan,Lynch,stayed in,63,Recruitment consultant,Sutton Coldfield,"Plum, Sour Cherry & Walnut",10,UNKNOWN
3,1,Cathryn,Dresser,stayed in,27,Shop assistant,"Pease Pottage, West Sussex","Apple, Hazelnut and Calvados",5,Hidden Cupcake Cake
3,1,Danny,Bryden,stayed in,45,Intensive care consultant,Sheffield,"Plum, Ginger & Orange",7,UNKNOWN
3,1,James,Morton,stayed in,21,Medical student,"Hillswick, Shetland Islands","Parsnip, Pear, and Pecan",2,"""Simmer Dim"" Sunset Cake"
3,1,John,Whaite,stayed in,22,Law student,Wigan,"Toffee Apple, Orange & Cranberry",11,Hidden Pink Hearts Cake
3,1,Manisha,Parmar,stayed in,27,Nursery nurse,Leicester,"Vanilla, Peach and Raspberry",6,White Chocolate Cake with a Red Velvet and White Chocolate Mousse Heart
3,1,Peter,Maloney,stayed in,43,Sales manager,"Windsor, Berkshire","Pear, Muscat & Chocolate",3,Jubilee Cake
3,1,Ryan,Chong,stayed in,38,Photographer,Bristol,Kumquat and Orange Polenta,8,Hidden Flowerbed Mousse Cake
3,1,Sarah-Jane,Willis,stayed in,28,Vicar's wife,"Bewbush, West Sussex","Pear, Chocolate and Hazelnut",1,Hidden Crown Cake
3,1,Stuart,Marston-Smith,stayed in,26,PE teacher,"Lichfield, Staffordshire",Tomato and Ginger,9,Lemon and Pistachio Union Flag Cake
3,1,Natasha,Stringer,Eliminated,36,Midwife,"Tamworth, Staffordshire",Pineapple & Passion Fruit,12,Mother's Day Layered Rose Cake
3,1,Victoria,Chester,Star Baker,50,CEO of the charity Plantlife,Somerset,Pear and Pecan,4,Blackbird Pie Cake
3,2,Brendan,Lynch,stayed in,63,Recruitment consultant,Sutton Coldfield,Middle Eastern Taboon BreadIndian Rotis,4,"Chocolate and Vanilla Bagels
Cumin and Gruyere Bagels"
3,2,Cathryn,Dresser,stayed in,27,Shop assistant,"Pease Pottage, West Sussex","Spiced Mango NaanLime, Coriander and Chilli Tortillas",8,"Cranberry and Orange Bagels
Chipotle, Chili, and Smoked Cheddar Bagels"
3,2,Danny,Bryden,stayed in,45,Intensive care consultant,Sheffield,Lime Coriander and Coconut TortillasZaatar Naan with Dukkah,3,UNKNOWN
3,2,James,Morton,stayed in,21,Medical student,"Hillswick, Shetland Islands","Tomato, Garlic, and Parmesan FlatbreadsTattie Scones",2,"Orange, Mint and Chocolate Bagels
'Millers' Sourdough Bagels"
3,2,Manisha,Parmar,stayed in,27,Nursery nurse,Leicester,Indian FlatbreadsItalian Flatbreads,6,UNKNOWN
3,2,Ryan,Chong,stayed in,38,Photographer,Bristol,Shanghai Spring Onion FlatbreadsGarlic and Coriander Naan,5,"Cinnamon and Date Bagels
Tarragon and Rosemary Bagels"
3,2,Sarah-Jane,Willis,stayed in,28,Vicar's wife,"Bewbush, West Sussex",Toasted Coconut and Lime RotisOatcakes,10,UNKNOWN
3,2,Stuart,Marston-Smith,stayed in,26,PE teacher,"Lichfield, Staffordshire",Bombay BreadChorizo and Spring Onion Naan,9,"Cinnamon and Cranberry Bagels
Tomato and Thyme Bagels"
3,2,Victoria,Chester,stayed in,50,CEO of the charity Plantlife,Somerset,Coriander and Lemon NaanGarlic and Parsnip Chapatis,7,"Saffron and Golden Raisin Bagels
Porcini Bagels"
3,2,Peter,Maloney,Eliminated,43,Sales manager,"Windsor, Berkshire",Fennel and Nigella Seed NaanBannock Bread,11,"Rosemary and Sea Salt Bagels
Apple and Cinnamon Bagels"
3,2,John,Whaite,Star Baker,22,Law student,Wigan,"Coriander and Chilli RotisGarlic, Pomegranate and Potato Pitas",1,"Fig, Walnut and Gruyere Bagels
Blueberry and White Chocolate Bagels"
3,2,Natasha,Stringer,NA,36,Midwife,"Tamworth, Staffordshire",NA,NA,NA
3,3,Brendan,Lynch,stayed in,63,Recruitment consultant,Sutton Coldfield,Apple and Ginger Tarte Tatin,9,"Blackberry, Nectarine and Dragon Fruit Tart"
3,3,Cathryn,Dresser,stayed in,27,Shop assistant,"Pease Pottage, West Sussex","Plum, Cherry and Five Spice Tarte Tatin",3,"Raspberry, Pistachio and Lemon Tart"
3,3,Danny,Bryden,stayed in,45,Intensive care consultant,Sheffield,Savoury Pear and Roquefort Tarte Tatin,2,"Pineapple, Coconut and Frangipane Tart"
3,3,John,Whaite,stayed in,22,Law student,Wigan,Apple and Vanilla Tarte Tatin with Walnut Praline,6,"Berries, Grapes, Pomegranate, and Dragon Fruit Tart"
3,3,Manisha,Parmar,stayed in,27,Nursery nurse,Leicester,"Cinnamon, Apple and Pear Tarte Tatin",10,Rum and Tropical Fruit Tart
3,3,Ryan,Chong,stayed in,38,Photographer,Bristol,Spiced Pear Tarte Tatin,5,UNKNOWN
3,3,Sarah-Jane,Willis,stayed in,28,Vicar's wife,"Bewbush, West Sussex",Caramelised Banana Tarte Tatin,8,French Apple Tart with Blackberry and Cassis Jam
3,3,Stuart,Marston-Smith,stayed in,26,PE teacher,"Lichfield, Staffordshire",Pear and Almond Tarte Tatin,7,Raspberry Triple Chocolate Layered Tart
3,3,Victoria,Chester,Eliminated,50,CEO of the charity Plantlife,Somerset,"Fig, Walnut and Pink Peppercorn Tarte Tatin",4,Tropical Fruit Tart with Black Pepper Crust
3,3,James,Morton,Star Baker,21,Medical student,"Hillswick, Shetland Islands",Apple and Lavender Tarte Tatin,1,"Rose, Lychee and Raspberry Fruit Tart"
3,3,Natasha,Stringer,NA,36,Midwife,"Tamworth, Staffordshire",NA,NA,NA
3,3,Peter,Maloney,NA,43,Sales manager,"Windsor, Berkshire",NA,NA,NA
3,4,Cathryn,Dresser,stayed in,27,Shop assistant,"Pease Pottage, West Sussex","White Chocolate, Macadamia and Coffee Torte",3,"Gooseberry, Almond and Honey Meringue"
3,4,Danny,Bryden,stayed in,45,Intensive care consultant,Sheffield,"Blackberry, White Chocolate, Lemon and Elderflower Torte",2,"'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise"
3,4,James,Morton,stayed in,21,Medical student,"Hillswick, Shetland Islands","Hazelnut, Chocolate and Passionfruit Torte",5,"Fig, Chestnut, Cherry and Chocolate Layered Meringue"
3,4,John,Whaite,stayed in,22,Law student,Wigan,'Torte Noir' Black Forest Torte with Boozy Cream,6,Elderflower and Bramble Berry Pavlova
3,4,Manisha,Parmar,stayed in,27,Nursery nurse,Leicester,"Almond, Chocolate and Cherry Torte",9,Tiramisu Layered Meringue Dessert
